834 3
1.185 2.827 127.3
29.23 18.37 100.3
10.2 12.72 46.08
23.3 27.7 98.81
2.11 30.81 137.1
16.07 21.77 56.81
18.15 36.18 68.14
13.86 43.25 83.68
14.05 105.4 126.8
5.955 38.16 97.54
14.23 107.4 117.3
7.951 48.05 96.02
11.27 23.46 101.9
13.98 105.2 130.8
6.303 45.79 87.02
13.02 124.7 117.2
13.78 45.79 101.3
18.03 103.5 114.7
9.874 100.1 123.1
20.45 24.03 118.9
13.12 21.48 48.48
11.02 117 113.5
9.565 111.4 90.23
3.049 61.34 85.95
5.308 112.8 115.9
6.636 117 133.1
23.74 40.99 106.9
27.82 92.15 129.1
22.54 93 129.2
12.09 28.83 93.1
9.613 21.77 89.98
10.1 115.6 111.2
5.816 97.24 86.19
14.84 60.77 102.1
19.08 106.6 116.8
1.617 60.21 82.22
1.61 59.36 74.78
1.678 61.06 77.62
2.106 96.11 90.81
1.572 61.9 98.11
12.66 110.8 121.1
12.34 109.4 120.3
9.808 105.4 121.8
12.69 112.2 129.4
12.53 112.5 130.7
34.12 94.13 125.8
29.65 93.85 131
18.81 13 105.6
18.47 17.24 64.73
16.75 31.94 79.26
15.27 51.16 93.22
20.02 98.37 126.7
19.59 98.93 126.9
21.83 99.78 125.2
24.47 26.01 118.6
34.08 88.19 138.3
33.54 89.32 138.5
31.97 92.43 136.9
24.7 46.07 125.7
15.32 64.17 99.83
15.73 97.8 114.4
18.87 49.18 109.3
22.92 99.78 126.6
25.24 90.17 136.3
27.46 91.87 131.6
14.81 35.33 76.32
15.76 53.42 110
21.49 95.82 120.3
16.14 58.23 101.1
17.72 100.9 122.2
18.41 25.72 79.92
21.18 42.4 109
29.53 96.95 119.5
31.52 95.82 120
22.87 95.54 129.3
14.53 61.34 107.2
15.64 66.43 87.04
15.56 36.75 78.89
21.77 96.95 119.1
22.75 54.27 93.74
20.49 50.31 105.5
14.59 38.73 79.6
15.17 56.53 105.8
15.59 58.23 104.9
16.14 58.51 101.2
15.91 57.1 101.7
15.95 34.2 77.59
16.47 35.62 78.73
21.79 55.4 91.73
21.87 94.98 125.2
19.34 93.85 128
20.86 45.79 109.3
17.1 42.68 99.65
22.54 38.44 112.8
28.76 93 126.7
17.83 29.11 77.61
20.2 49.18 108.1
20.76 46.92 105.7
21.16 46.64 109
18.42 97.52 127.7
