100 2
0.12 0.17
0.3 0.18
0.26 0.25
0.17 0.3
0.16 0.24
0.2 0.26
0.22 0.2
0.23 0.11
0.27 0.28
0.18 0.22
0.29 0.17
0.22 0.16
0.24 0.27
0.17 0.15
0.23 0.15
0.24 0.15
0.12 0.23
0.26 0.15
0.18 0.24
0.19 0.24
0.15 0.26
0.24 0.3
0.28 0.28
0.12 0.13
0.23 0.13
0.14 0.2
0.1 0.21
0.21 0.25
0.18 0.11
0.24 0.2
0.12 0.26
0.28 0.28
0.18 0.29
0.11 0.27
0.14 0.23
0.13 0.21
0.24 0.15
0.29 0.25
0.16 0.23
0.28 0.14
0.19 0.26
0.1 0.1
0.2 0.15
0.29 0.16
0.17 0.18
0.27 0.22
0.18 0.16
0.13 0.22
0.14 0.28
0.11 0.28
0.23 0.17
0.24 0.15
0.17 0.17
0.17 0.13
0.21 0.25
0.14 0.29
0.26 0.22
0.15 0.21
0.28 0.24
0.11 0.2
0.3 0.22
0.17 0.14
0.28 0.13
0.29 0.3
0.2 0.26
0.16 0.16
0.23 0.24
0.15 0.2
0.28 0.13
0.11 0.16
0.18 0.23
0.16 0.17
0.29 0.3
0.1 0.13
0.19 0.28
0.3 0.15
0.25 0.12
0.23 0.15
0.16 0.27
0.11 0.19
0.19 0.14
0.21 0.11
0.13 0.24
0.2 0.19
0.2 0.14
0.2 0.29
0.2 0.25
0.17 0.11
0.24 0.23
0.18 0.16
0.26 0.2
0.2 0.2
0.24 0.15
0.2 0.18
0.24 0.24
0.24 0.2
0.24 0.12
0.23 0.16
0.15 0.21
0.26 0.19
